uid,class
604886640ac948f1980d81bc4a3ed7cf,bed
ea5d7b8656c74af3843a5fcb34c30d21,bed
a12d3ae76e3944428f14e5b15d4f0efd,bed
b547d81073b64d3e97200fd3ae9a74af,bed
0776052b361b4002aba142e6ec6bd01e,bed
568f22034e364caca4e450a6d534dbd6,bed
b0aa0259376b435fab6645365a7fbd87,bed
6eb4212e70b941a3bd2db196a47828b9,bed
9eefcf9a6fed458990b59f63a2870d9e,bed
6251708b41514ee6b4fec0e3955c4b69,bed
2bd3fcc82c9f43cfb0c8cf26c7d0107c,bed
fc9cbf532b6045969b9f7eeac339afd2,bed
0034c300f743460c8c84bce3d81ff604,bed
954bcc16347940af96136bc6b666cb69,bed
3ed408980a9b4f9396a7f7c48ec50aa4,bed
ef7e34822e60420ca3a3a6d4a4509a95,bed
34cdfe3cfc4f467bad8fb088a3949f3d,bed
dda2613eb5c04527a325a3b0bce9f79c,bed
a0a80e5afb33458fbc0aa0ca6d0636b1,bed
0972c48a7e4548bca80975a47a823bab,bed
d1d7750af5144d1bb7d9fcc66b137c4c,bed
ca1990835c3c4be3b2f1c59eb3355bd9,bed
634e876bc6374e46ba5b5554bf63cb75,bed
d6507259030a46f2a21a58c55d45c67f,bed
7b13b36ba2304912afc9840caea731c6,bed
81ada0e24e1647d8a0d6d0708a696f84,bed
08f7f65edfea417b8ed9ca748381e507,bed
d7fcaa3e8c844418a38b721c325bb2af,bed
c017f22cb89f449995d054ba1d1ddd25,bed
0a5652c16e1a4575903dfc1696382502,bed
0cb0a6704c8a4fbd967039998a9d76ac,bed
5dbfe3c5798445a5bdff4efca0b943a2,bed
8d8a605ac22e422cb14c0c38abb7db44,bed
426c14adba6a45638752986c2f7d16b2,bed
3d118a9fd6e34ddab99cb0fab5540682,bed
65a13a04056c4f51a9c324e2a975b9a5,bed
653a622f383244ab9e7859f9aa2dcc8f,bed
322ba3a159a845c7b7642467e23fcc2d,bed
d92ab9476b6c4223b9e942954aa58835,bed
f2b3a71f48d040069fb144f76a1180d9,bed
7f1392ba478242d7a2093930b213e954,bed
dc3024aa5e234f4299641f072558b9a8,bed
3603cf85c49e4323a93b62db0258b36f,bed
661f07b296ab4f2e8cc5ac822868f5b6,bed
ef4fef24c990461986a96f5462c5248d,bed
e20424c0c85b49bc8d85f7b3949f0962,bed
5d3a99865ac84d8a8bf06b263aa5bb55,bed
2c23a943c53048a3a7991d68ed3cf069,bed
a2b2645701c94fa49e65661806219c6b,bed
81f414be3f95468995f5527647349920,bed
ae81468e59404c9bb18333bb42114488,chair
7b2b1b1235b44c579d45fbc8d498e678,chair
9d6276dd6744474391fc21031bf75404,chair
79c0f5d111324264b4c6fea9402df88e,chair
ed8d17407c75443d8ad6eb4045cfafa4,chair
fdcf9d47997048da826ffaf7d84024b4,chair
ac33b2fcd1524da8aa3d07637412093c,chair
a911adbf46d14001954e6b41d4f52ff0,chair
75b13759a6e84978b41cb52073031326,chair
b3ce6d803aa74929b5317a4771780b42,chair
5a95a3afbf164e26b538de19cdb74ea4,chair
a653e92fad4f4721ad92fbd8f386acfe,chair
1b1245352f35414c8af77be29e1b2135,chair
7e46ca9ebbb24affa9ac348886481dbe,chair
f6a450e1a23b4abdbb82fdd36f7015f9,chair
38270fc8d593420897328cdba88ba242,chair
a8fdfaba559e4f9899944f8d50f2bda6,chair
09fd6b85dfc84ccfac7b6d3ef378fea2,chair
ee1e4fa481484989b0e01b0078b71a96,chair
90853681645c494092323583f1225a56,chair
7f10ef845b594690bff6cc5dc21c3f99,chair
64b170e4864549c382b6c94c529203d7,chair
c47502ead1e94b5eaae8447e512cc772,chair
2353c11119674786955adfda7368df62,chair
039c6026571943d6ac45c6816bcc7ff1,chair
600e1e7db1cf48479da37f997e6c3448,chair
3130cc3252934eb4aea42db804d4f953,chair
63797942d2674b6da5c94ce19672e6b6,chair
4281fdefe6ee4cf0a81f5d4fe9bb67db,chair
dca771ce34eb4d21879a489eca6c4882,chair
19c3819d047c4ea5b792d7dab5fb7a19,chair
3b3156919dfa4cffa6ced7236b7cef07,chair
8102032a85e34e1d9e9193e6149946f1,chair
6829f6df49124a50ace106d4cb754064,chair
90425954be6c42c2b469e032b4ae07cf,chair
28d004c0d320423d89b6b4421c23df2f,chair
2c32127e0a354be9b588bbeb8f9ac644,chair
0981a5c30fdf4416ab03bd6e32a77d08,chair
1b56d27bd90b4cfe9a70151078aad632,chair
51e2822c9d3a4c9e96171553f96bdf04,chair
0bc2011018e2463ca119ebce4e15a94b,chair
46863d3659974498bbb4427811035177,chair
