uid,class
d210ff8277ae4fbfb3334ede70614b06,sofa
06024979a503424f99b23e00bba766d1,sofa
9b1e09abe5e34d6397937ebf59901898,sofa
6d8c8c2a8c244a9bbc0651b884afad73,sofa
68b8e6802a244470b4051eb192d99a9a,sofa
5979a6cd55854243abbd5554d309f073,sofa
1582bd8176654bb98871b8c20ae94a72,sofa
e7f4c701048f4dcbb2b24a57c357ffa9,sofa
42da0122f2134a189767d0911b401c1c,sofa
4abe2daea9024870ab2eed8298dfc077,sofa
f8def3c5f656454c935fe3d626ed9fab,sofa
493cf761ada14c0bbc1f5b71369d8d93,sofa
ff2cd3eff128404883fc40e3792f3b43,sofa
5ec9697d85654005b27fd29bd6df987e,sofa
104ac40ef3ad4dac8079a11548c470e7,sofa
37c1b68a67d44385a435ecda1281f708,sofa
9c242421a7c1447f941f72b57e7473e5,sofa
9dbe5e77569c482fa42d708c75154a29,sofa
5b86aa664756441d82a4a9d9bd32ed92,sofa
1ae202f921bd48e6863a01a93744e499,sofa
568b86decd564fddab54aad4000e4785,sofa
b5dd725f6bee4a41bdbeec3d3ca51cd2,sofa
d41ef98dbadc4d1fa49c2adc715c3fe6,sofa
0eb6c94aa40c41b480cf35de229e8e88,sofa
2adc430b322c4130bdaadc4f9c92886c,sofa
a4c4e43e911e4a7fa0cc2617a0697eef,sofa
a82cf2f38ca549ed87982f422b9fb092,sofa
f0ff385edd4f4a9ebac56d755c2f6634,sofa
1a6a02daf9a84b108e437f75fdcab2f7,sofa
207cea3239944c91ab111ca8ee244024,sofa
d90e4353ae7047e0b4f37abc8bc58468,sofa
b1155b5ebd7c478bb0d35747c2211e5f,sofa
b405dd9808a04d92b416a02d017c2ff9,sofa
82a393a6680745ae8f189e24d41b817a,sofa
c2414bdd1a3e4604a011c7889983c0dd,sofa
736e3ea67480426da4013dbca5fb8d20,sofa
072d0468bb97447ab1ca7e3edea25f1f,sofa
9a2c5ed79d634a61b1166836a8a5530f,sofa
4c9549644f6b477d991f16a26e442935,sofa
2aef33f2add148a7af1cadfeea487dd0,sofa
bd6cd4c1504341d7ba1dc0d6678f3421,sofa
482c5168f1694911b597c81f3d0c73b1,sofa
8096984ae8734db9bfa5dedf89c175a7,sofa
690551ea0f054aa48ebfb0b63f7c153a,sofa
46e87a7edb4f4c3ea685ff3a88a325c5,sofa
a0d66f10a850469c9cb04c3cecc62a05,sofa
